Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
David Ba\xc3\xb1uelos,28,675915,Maj-AL,Baltimore,28,3,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.333,0.0,C,BAL
Addison Barger,26,680718,Maj-AL,Toronto,26,815,744,90,175,96,47,1,31,112,61,197,6,1,0.235,0.295,0.426,3B,TOR
Austin Barnes,35,605131,Maj-NL,Los Angeles,35,401,361,31,78,64,11,0,3,24,32,93,5,1,0.216,0.282,0.271,C,LAD
Tucker Barnhart,34,571466,"Maj-AL,Maj-NL","Arizona,Chicago,Texas",34,234,203,19,39,32,6,0,1,15,26,77,2,0,0.192,0.289,0.236,C,
Tres Barrera,28,668663,Maj-NL,St. Louis,28,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C,STL
Jose Barrero,27,676480,Maj-NL,"Cincinnati,St. Louis",27,176,158,19,33,21,9,0,3,20,16,51,3,2,0.209,0.284,0.323,SS,
Jorge Barrosa,25,678489,Maj-NL,Arizona,25,128,119,15,20,9,9,1,1,11,3,35,1,0,0.168,0.19,0.286,LF,ARI
Joey Bart,29,663698,Maj-NL,"Pittsburgh,San Francisco",29,726,640,69,158,112,28,1,17,81,66,197,1,1,0.247,0.333,0.373,C,
Osleivis Basabe,22,678545,Maj-AL,Tampa Bay,22,94,87,15,19,13,5,0,1,12,6,25,0,1,0.218,0.277,0.31,SS,TB
Samuel Basallo,21,694212,Maj-AL,Baltimore,21,160,146,14,23,12,6,0,5,16,11,44,0,0,0.158,0.231,0.301,C,BAL
Matthew Batten,29,676946,Maj-NL,San Diego,29,142,123,19,32,23,6,1,2,11,17,30,2,2,0.26,0.355,0.374,2B,
Brett Baty,26,683146,Maj-NL,New York,26,1043,948,115,222,157,31,3,31,107,78,274,12,0,0.234,0.294,0.371,3B,NYM
Jake Bauers,30,641343,"Maj-AL,Maj-NL","Milwaukee,New York",30,902,788,111,167,94,35,2,36,114,103,288,27,5,0.212,0.307,0.398,1B,
Matt Beaty,30,607461,"Maj-AL,Maj-NL","Kansas City,San Francisco",30,71,60,8,14,10,4,0,0,4,6,13,0,0,0.233,0.352,0.3,1B,
Dylan Beavers,24,687637,Maj-AL,Baltimore,24,175,143,22,34,22,6,1,5,19,30,44,3,2,0.238,0.368,0.399,RF,BAL
Jordan Beck,25,687597,Maj-NL,Colorado,25,804,738,77,174,116,34,5,19,71,58,246,28,10,0.236,0.295,0.373,LF,COL
Josh Bell,33,605137,"Maj-AL,Maj-NL","Arizona,Cleveland,Miami,Minnesota,Washington",33,1811,1603,181,397,255,73,3,66,221,177,358,0,5,0.248,0.326,0.42,1B,
Cody Bellinger,30,641355,"Maj-AL,Maj-NL","Chicago,New York",30,1869,1678,269,468,303,80,10,75,282,152,279,45,11,0.279,0.337,0.473,LF,
Brandon Belt,35,474832,Maj-AL,Toronto,35,408,343,53,85,44,22,0,19,43,61,144,0,0,0.248,0.363,0.478,1B,TOR
Anthony Bemboom,33,621532,Maj-AL,Baltimore,33,13,11,0,2,2,0,0,0,0,2,2,0,0,0.182,0.308,0.182,C,BAL
Carson Benge,23,701807,Maj-NL,New York,23,49,43,4,6,5,0,0,1,3,6,14,5,0,0.14,0.245,0.209,OF,NYM
Andrew Benintendi,31,643217,Maj-AL,Chicago,31,1644,1488,180,362,242,70,5,45,173,135,284,17,4,0.243,0.307,0.388,LF,CWS
Will Benson,28,666181,Maj-NL,Cincinnati,28,999,885,124,200,107,43,13,37,116,100,331,37,13,0.226,0.305,0.429,LF,CIN
Warming Bernabel,23,682653,Maj-NL,Colorado,23,146,139,15,35,22,8,1,4,14,7,25,1,1,0.252,0.288,0.41,3B,COL
