Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Spencer Bivens,31,702352,Maj-NL,San Francisco,31,81,2,7.0,4.0,129.2,130,53,36,98,15,3.68,1.28,545,2.72,8,1,SF
Ty Blach,33,621389,Maj-NL,Colorado,33,40,25,6.0,,149.1,207,103,42,86,32,6.21,1.667,682,2.05,3,1,COL
Mason Black,25,696131,Maj-NL,San Francisco,25,10,8,1.0,,40.1,51,29,15,36,9,6.47,1.636,188,2.4,2,0,SF
Paul Blackburn,32,621112,"Maj-AL,Maj-NL","New York,Oakland",32,54,38,9.0,1.0,223.1,253,122,77,200,30,4.92,1.478,985,2.6,20,4,
Bradley Blalock,24,687134,Maj-NL,"Colorado,Milwaukee",24,21,18,3.0,,89.1,120,81,43,47,21,8.16,1.825,422,1.09,12,1,
Ronel Blanco,31,669854,Maj-AL,Houston,31,57,45,18.0,,269.2,201,100,119,270,41,3.34,1.187,1111,2.27,14,2,HOU
Richard Bleier,36,542947,Maj-AL,Boston,36,27,0,1.0,,30.2,37,18,5,16,5,5.28,1.37,132,3.2,1,0,BOS
Scott Blewett,29,656240,"Maj-AL,Maj-NL","Atlanta,Baltimore,Minnesota",29,38,2,4.0,,64.2,62,31,26,53,11,4.31,1.361,279,2.04,7,0,
Jake Bloss,23,814005,Maj-AL,Houston,23,3,3,,,11.2,16,9,3,11,5,6.94,1.629,55,3.67,5,0,HOU
AJ Blubaugh,25,805123,Maj-AL,Houston,25,17,3,4.0,,41.1,28,16,16,42,8,3.48,1.065,168,2.63,4,0,HOU
Cody Bolton,28,675989,"Maj-AL,Maj-NL","Cleveland,Houston,Pittsburgh,Seattle",28,36,1,1.0,1.0,49.1,58,30,27,50,7,5.47,1.723,230,1.85,2,1,
Cam Booser,33,592155,Maj-AL,"Boston,Chicago",33,82,0,4.0,2.0,73.2,69,35,35,78,13,4.28,1.412,326,2.23,1,1,
Ryan Borucki,32,621366,"Maj-AL,Maj-NL","Pittsburgh,San Francisco,Toronto",32,97,2,5.0,,91.2,78,43,26,83,12,4.22,1.135,374,3.19,8,0,
David Bote,31,623520,Maj-NL,Chicago,31,1,0,,,1.0,1,0,1,0,0,0.0,2.0,5,0.0,0,0,CHC
Caleb Boushley,31,676961,"Maj-AL,Maj-NL","Milwaukee,Minnesota,Texas",31,28,1,1.0,1.0,49.2,61,32,18,47,6,5.8,1.591,223,2.61,2,0,
Ben Bowden,30,641386,Maj-AL,Athletics,30,11,0,,,10.2,9,5,5,7,2,4.22,1.313,47,1.4,2,0,
Jonathan Bowlan,29,680742,"Maj-AL,Maj-NL","Kansas City,Philadelphia",29,43,3,2.0,,56.1,55,27,20,58,10,4.31,1.331,236,2.9,4,1,
Matt Bowman,34,621199,"Maj-AL,Maj-NL","Arizona,Baltimore,Minnesota,New York,Seattle",34,48,1,1.0,,59.1,63,36,21,45,10,5.46,1.416,266,2.14,6,0,
Brad Boxberger,35,502202,Maj-NL,Chicago,35,21,0,,2.0,19.0,15,11,10,16,3,5.21,1.316,81,1.6,4,0,CHC
